_timestamp,version,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc
1712562458723198,0,114476600,11.313823,46.434320,286.703200,240.654800,0.000000,-0.000000,0.000200,-0.000200,0.017500,0.024000
1712562458823952,0,114476700,11.313823,46.434320,286.707500,240.659100,-0.000000,0.000000,0.000500,0.000100,0.017600,0.024200
1712562458924933,0,114476800,11.313823,46.434320,286.708300,240.659900,0.000000,0.000000,0.000300,-0.000100,0.017500,0.023900
1712562459026067,0,114476900,11.313823,46.434320,286.701900,240.653500,0.000000,0.000000,-0.000100,0.000500,0.017900,0.024600
1712562459152078,0,114477000,11.313823,46.434320,286.702700,240.654300,0.000000,0.000000,-0.000300,0.000300,0.017600,0.024200
1712562459229396,0,114477100,11.313823,46.434320,286.702400,240.654000,0.000000,-0.000000,0.000400,0.000000,0.017800,0.024300
1712562459325695,0,114477200,11.313823,46.434320,286.705200,240.656800,0.000000,-0.000000,0.000200,-0.000200,0.018200,0.024900
1712562459424471,0,114477300,11.313823,46.434320,286.707100,240.658700,-0.000000,-0.000000,0.000100,-0.000300,0.018000,0.024500
1712562459519912,0,114477400,11.313823,46.434320,286.702900,240.654500,-0.000000,-0.000000,-0.000100,-0.000500,0.018800,0.025600
1712562459628403,0,114477500,11.313823,46.434320,286.701400,240.653000,-0.000000,0.000000,0.000400,0.000000,0.018500,0.025200
1712562459722770,0,114477600,11.313823,46.434320,286.712000,240.663600,-0.000000,-0.000000,0.000000,-0.000400,0.016800,0.023100
1712562459824804,0,114477700,11.313823,46.434320,286.713700,240.665300,-0.000000,-0.000000,-0.000300,0.000300,0.016600,0.022100
1712562459923177,0,114477800,11.313823,46.434320,286.717200,240.668800,-0.000000,-0.000000,0.000200,-0.000200,0.016100,0.021100
1712562460023609,0,114477900,11.313823,46.434320,286.715600,240.667200,-0.000000,-0.000000,-0.000400,0.000200,0.016000,0.020900
1712562460136801,0,114478000,11.313823,46.434320,286.715100,240.666700,-0.000000,-0.000000,0.000100,-0.000300,0.015800,0.020500
1712562460235434,0,114478100,11.313823,46.434320,286.717100,240.668700,0.000000,-0.000000,0.000100,-0.000300,0.016600,0.022100
1712562460328375,0,114478200,11.313823,46.434320,286.711500,240.663100,0.000000,-0.000000,-0.000500,0.000100,0.017000,0.023100
1712562460418829,0,114478300,11.313823,46.434320,286.718900,240.670400,-0.000000,0.000000,-0.000100,0.000400,0.016800,0.022600
1712562460528844,0,114478400,11.313823,46.434320,286.719400,240.671000,0.000000,0.000000,0.000400,0.000000,0.017000,0.023000
